X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.00024228,0.0998824,,0.00024228,1.49514
0.00024328,0.0999109,,0.00024328,1.4954
0.00024428,0.0999354,,0.00024428,1.49563
0.00024528,0.099956,,0.00024528,1.49582
0.00024628,0.0999727,,0.00024628,1.49597
0.00024728,0.0999854,,0.00024728,1.49609
0.00024828,0.0999942,,0.00024828,1.49617
0.00024928,0.099999,,0.00024928,1.49621
0.00025028,0.0999998,,0.00025028,1.49622
0.00025128,0.0999968,,0.00025128,1.4962
0.00025228,0.0999897,,0.00025228,1.49613
0.00025328,0.0999788,,0.00025328,1.49603
0.00025428,0.0999638,,0.00025428,1.49589
0.00025528,0.099945,,0.00025528,1.49572
0.00025628,0.0999222,,0.00025628,1.49551
0.00025728,0.0998954,,0.00025728,1.49527
0.00025828,0.0998647,,0.00025828,1.49499
0.00025928,0.0998301,,0.00025928,1.49467
0.00026028,0.0997915,,0.00026028,1.49432
0.00026128,0.0997489,,0.00026128,1.49392
0.00026228,0.0997025,,0.00026228,1.4935
0.00026328,0.0996521,,0.00026328,1.49303
0.00026428,0.0995978,,0.00026428,1.49253
0.00026528,0.0995395,,0.00026528,1.492
0.00026628,0.0994773,,0.00026628,1.49142
0.00026728,0.0994112,,0.00026728,1.49081
0.00026828,0.0993411,,0.00026828,1.49017
0.00026928,0.0992672,,0.00026928,1.48948
0.00027028,0.0991893,,0.00027028,1.48876
0.00027128,0.0991075,,0.00027128,1.48801
0.00027228,0.0990217,,0.00027228,1.48721
0.00027328,0.0989321,,0.00027328,1.48638
0.00027428,0.0988386,,0.00027428,1.48551
0.00027528,0.0987412,,0.00027528,1.4846
0.00027628,0.0986398,,0.00027628,1.48366
0.00027728,0.0985346,,0.00027728,1.48268
0.00027828,0.0984255,,0.00027828,1.48166
0.00027928,0.0983125,,0.00027928,1.4806
0.00028028,0.0981956,,0.00028028,1.4795
0.00028128,0.0980748,,0.00028128,1.47837
0.00028228,0.0979502,,0.00028228,1.4772
0.00028328,0.0978217,,0.00028328,1.47599
0.00028428,0.0976894,,0.00028428,1.47474
0.00028528,0.0975531,,0.00028528,1.47346
0.00028628,0.0974131,,0.00028628,1.47213
0.00028728,0.0972692,,0.00028728,1.47077
0.00028828,0.0971214,,0.00028828,1.46936
